timestamp,total_decisions,blocked_count,allowed_count,avg_decision_delay
1789652479.4471483,56460,0,56460,1.702
1789652479.4674873,56470,0,56470,1.702
1789652479.4862754,56480,0,56480,1.701
1789652479.4977603,56490,0,56490,1.701
1789652479.5267866,56500,0,56500,1.701
1789652479.5360548,56510,0,56510,1.7
1789652479.5437477,56520,0,56520,1.7
1789652479.5511754,56530,0,56530,1.7
1789652479.5598235,56540,0,56540,1.699
1789652479.5692434,56550,0,56550,1.699
1789652479.5838137,56560,0,56560,1.699
1789652479.5918121,56570,0,56570,1.699
1789652479.6002588,56580,0,56580,1.698
1789652479.6111174,56590,0,56590,1.698
1789652479.6211917,56600,0,56600,1.698
1789652479.6333995,56610,0,56610,1.697
1789652479.64675,56620,0,56620,1.697
1789652479.6546245,56630,0,56630,1.697
1789652479.6636894,56640,0,56640,1.696
1789652479.671236,56650,0,56650,1.696
1789652479.6791615,56660,0,56660,1.696
1789652479.6912596,56670,0,56670,1.696
1789652479.7014906,56680,0,56680,1.695
1789652479.7099423,56690,0,56690,1.695
1789652479.7219627,56700,0,56700,1.695
1789652479.7296014,56710,0,56710,1.694
1789652479.738847,56720,0,56720,1.694
1789652479.7532365,56730,0,56730,1.694
1789652479.7604966,56740,0,56740,1.693
1789652479.7712524,56750,0,56750,1.693
1789652479.7867088,56760,0,56760,1.693
1789652479.80886,56770,0,56770,1.693
1789652479.8290532,56780,0,56780,1.692
1789652479.8460903,56790,0,56790,1.692
1789652479.87232,56800,0,56800,1.692
1789652479.8885615,56810,0,56810,1.691
1789652479.910329,56820,0,56820,1.691
1789652479.9229004,56830,0,56830,1.691
1789652479.9341795,56840,0,56840,1.69
1789652479.9460902,56850,0,56850,1.69
1789652479.9551833,56860,0,56860,1.69
1789652479.9638035,56870,0,56870,1.69
1789652479.9868052,56880,0,56880,1.689
1789652479.9949453,56890,0,56890,1.689
1789652480.0048814,56900,0,56900,1.689
1789652480.0153298,56910,0,56910,1.688
1789652480.0285683,56920,0,56920,1.688
1789652480.0388339,56930,0,56930,1.688
1789652480.052974,56940,0,56940,1.687
1789652480.062959,56950,0,56950,1.687
1789652480.0715268,56960,0,56960,1.687
1789652480.0811658,56970,0,56970,1.687
1789652480.0931714,56980,0,56980,1.686
1789652480.1205258,56990,0,56990,1.686
1789652480.1322207,57000,0,57000,1.686
1789652480.1450622,57010,0,57010,1.685
1789652480.1551569,57020,0,57020,1.685
1789652480.1682582,57030,0,57030,1.685
1789652480.1769454,57040,0,57040,1.685
1789652480.1870575,57050,0,57050,1.684
1789652480.1943758,57060,0,57060,1.684
